Date;mean_NTU_h;sd_NTU_h
113;2024-04-21;34.2485628020186;25.8453393922921
114;2024-04-22;29.8965169653101;19.2738580634861
115;2024-04-23;23.2392589337798;14.5998958832473
116;2024-04-24;25.8758287540133;19.7332076645484
117;2024-04-25;33.6464357414659;27.2585541433388
118;2024-04-26;39.9032095259481;49.715136199673
119;2024-04-27;34.4403064905838;44.2199843770738
120;2024-04-28;33.519753139413;25.8499707300502
121;2024-04-29;39.7427269848008;27.1410117993313
122;2024-04-30;44.8065980632353;28.0043837885539
123;2024-05-01;40.5688476704089;25.4073951004225
124;2024-05-02;41.459880238024;29.7368004309953
125;2024-05-03;38.8050451375502;29.4701890175294
126;2024-05-04;36.4543027734205;16.0958433721466
127;2024-05-05;32.8708752721306;16.6758953105227
128;2024-05-06;24.926940482619;11.7063300200221
129;2024-05-07;20.6351527647782;11.7104194594479
130;2024-05-08;20.1412840028652;8.49264881768759
131;2024-05-09;26.316565650505;20.0064155092554
132;2024-05-10;32.8544280213294;21.3194441977894
133;2024-05-11;33.5590756815134;18.2639421539586
134;2024-05-12;28.937255579798;17.0928416121527
135;2024-05-13;27.6511909784226;19.6442366071009
136;2024-05-14;37.5953032795543;46.6800874675714
137;2024-05-15;40.9377572131971;27.8927154560483
138;2024-05-16;34.8660944441667;20.4576326961764
139;2024-05-17;35.000414065735;20.3080721156102
140;2024-05-18;27.9197141390504;16.8082912771738
141;2024-05-19;32.3683493084291;21.1573346365488
142;2024-05-20;32.3918423878012;27.7727227526297
143;2024-05-21;40.6203643193841;24.9259755137863
144;2024-05-22;33.6488509344609;20.4848427806708
145;2024-05-23;36.3600916947042;22.4378981984241
146;2024-05-24;44.2785293622159;20.5979537684023
147;2024-05-25;58.4208885823293;30.4674577039846
148;2024-05-26;42.6906815387931;28.2791295698524
149;2024-05-27;36.2431073602941;22.7105721790338
150;2024-05-28;30.0106796020115;26.7381875856145
151;2024-05-29;23.2081441350789;16.453636394897
152;2024-05-30;29.7451845831224;20.2583522438209
153;2024-05-31;31.4411583923002;27.1609616311573
154;2024-06-01;25.3623817782116;15.547586993872
155;2024-06-02;29.6510102127976;19.9243688398002
156;2024-06-03;27.6790189074612;20.1691827536026
157;2024-06-04;30.84511726809;23.6406753456392
158;2024-06-05;28.5737149611291;20.5650754152932
159;2024-06-06;32.6962223805221;50.859010970909
160;2024-06-07;35.1490149295635;33.70501813922
161;2024-06-08;37.5598732106625;32.1047204920239
162;2024-06-09;23.5841265097892;18.0694301504014
163;2024-06-10;25.9574355262897;23.1208115049932
164;2024-06-11;27.0907352857843;21.490605114076
165;2024-06-12;33.4901845761891;23.7034378356936
166;2024-06-13;23.1358932235529;16.5825527173542
167;2024-06-14;31.8738081323232;25.0795754679896
168;2024-06-15;39.6908067779521;33.9953586551404
169;2024-06-16;43.3170760662021;70.7871733695546
170;2024-06-17;37.5451267607212;42.8233747259615
171;2024-06-18;38.8312980673077;28.276854716451
172;2024-06-19;34.2844991401294;19.0101156083354
173;2024-06-20;36.9321428998447;21.5760415416355
174;2024-06-21;46.4362139408436;31.3460832102238
175;2024-06-22;56.4979594117325;42.5853066100331
176;2024-06-23;48.5975105516214;38.3776463649319
177;2024-06-24;46.4627901063819;42.5346567755574
178;2024-06-25;37.4082623330375;44.8760573159646
179;2024-06-26;37.184025064481;49.5293920242557
180;2024-06-27;37.0739485788773;55.5647355681964
181;2024-06-28;37.1823982333333;52.0172439685585
182;2024-06-29;45.2206243121622;74.72902840095
183;2024-06-30;38.082473051233;65.444044936331
184;2024-07-01;19.7281495840761;12.6008167578556
185;2024-07-02;16.8299113937764;10.9547592736205
186;2024-07-03;17.5204563745098;11.3790874059083
187;2024-07-04;16.3652765546875;8.3275647631025
188;2024-07-05;22.0208196858586;8.76944150429514
189;2024-07-06;17.5645782570122;9.44101744597072
190;2024-07-07;20.3193934599156;14.6794531800262
191;2024-07-08;40.9889463536232;30.4809154156484
192;2024-07-09;26.8569503244681;23.6425165519119
193;2024-07-10;22.814707659204;18.2384990546179
194;2024-07-11;22.2221946123188;15.3790373162403
195;2024-07-12;28.6302401985294;26.0737023530829
196;2024-07-13;24.3438161089385;21.8872937808564
197;2024-07-14;24.8268890438856;17.0143898451665
198;2024-07-15;25.6376746322823;20.65893446235
199;2024-07-16;26.5836758130454;17.7201774572344
200;2024-07-17;37.6469379236764;24.6585864847166
201;2024-07-18;34.9452710319069;28.5974276895973
202;2024-07-19;27.2943425601852;17.0793933432394
203;2024-07-20;30.4634969440217;24.5262861482322
204;2024-07-21;27.3897409959192;25.4079894018391
205;2024-07-22;21.2265779556452;21.4925161806206
206;2024-07-23;26.4188874275426;29.9206132276317
207;2024-07-24;18.5656761158281;12.7386583887994
208;2024-07-25;18.0061067816244;14.9462621689097
209;2024-07-26;19.9536731125992;15.9059881379162
210;2024-07-27;22.6865494064114;17.6564764986765
211;2024-07-28;27.6471488490566;23.9968672417627
212;2024-07-29;37.0506806081355;26.2961256244766
213;2024-07-30;31.394587487204;29.5300486655967
214;2024-07-31;27.9827592260101;36.4382683509444
215;2024-08-01;26.5148819080113;33.2898655008044
216;2024-08-02;30.7809618055556;34.3026165570467
217;2024-08-03;30.4051802526316;36.1794270358579
218;2024-08-04;21.635685531579;26.2359898781349
219;2024-08-05;17.1001948537582;11.4480113607624
220;2024-08-06;22.6551114355053;15.7447975658296
221;2024-08-07;23.0631943823141;16.555236463043
222;2024-08-08;31.6362238051029;30.7682961439386
223;2024-08-09;29.151429099359;26.8737748850336
224;2024-08-10;32.1991224366114;32.0715305507195
225;2024-08-11;25.7325394528455;24.3347192301452
