WAARNEMINGDATUM;HH;NTU_h;Year;Date
2022-01-17;15;NA;2022;01-17
2022-01-17;16;NA;2022;01-17
2022-01-17;17;4;2022;01-17
2022-01-17;18;4;2022;01-17
2022-01-17;19;NA;2022;01-17
2022-01-17;20;NA;2022;01-17
2022-01-17;21;NA;2022;01-17
2022-01-17;22;NA;2022;01-17
2022-01-17;23;NA;2022;01-17
2022-01-18;00;NA;2022;01-18
2022-01-18;01;NA;2022;01-18
2022-01-18;02;3;2022;01-18
2022-01-18;03;NA;2022;01-18
2022-01-18;04;3;2022;01-18
2022-01-18;05;3;2022;01-18
2022-01-18;06;3.66666666666667;2022;01-18
2022-01-18;07;3;2022;01-18
2022-01-18;08;3;2022;01-18
2022-01-18;09;3;2022;01-18
2022-01-18;10;3;2022;01-18
2022-01-18;11;4;2022;01-18
2022-01-18;12;5;2022;01-18
2022-01-18;13;7;2022;01-18
2022-01-18;14;7;2022;01-18
2022-01-18;15;8;2022;01-18
2022-01-18;16;9;2022;01-18
2022-01-18;17;8.33333333333333;2022;01-18
2022-01-18;18;9.5;2022;01-18
2022-01-18;19;NA;2022;01-18
2022-01-18;20;10;2022;01-18
2022-01-18;21;10;2022;01-18
2022-01-18;22;NA;2022;01-18
2022-01-18;23;NA;2022;01-18
2022-01-19;00;11;2022;01-19
2022-01-19;01;11;2022;01-19
2022-01-19;02;NA;2022;01-19
2022-01-19;03;NA;2022;01-19
2022-01-19;04;NA;2022;01-19
2022-01-19;05;14.6666666666667;2022;01-19
2022-01-19;06;16;2022;01-19
2022-01-19;07;18.6666666666667;2022;01-19
2022-01-19;08;22;2022;01-19
2022-01-19;09;20;2022;01-19
2022-01-19;10;22;2022;01-19
2022-01-19;11;26;2022;01-19
2022-01-19;12;25.3333333333333;2022;01-19
2022-01-19;13;29;2022;01-19
2022-01-19;14;NA;2022;01-19
2022-01-19;15;NA;2022;01-19
2022-01-19;16;28;2022;01-19
2022-01-19;17;30;2022;01-19
2022-01-19;18;29.5;2022;01-19
2022-01-19;19;26;2022;01-19
2022-01-19;20;29;2022;01-19
2022-01-19;21;26;2022;01-19
2022-01-19;22;NA;2022;01-19
2022-01-19;23;24;2022;01-19
2022-01-20;00;22;2022;01-20
2022-01-20;01;NA;2022;01-20
2022-01-20;02;20;2022;01-20
2022-01-20;03;19;2022;01-20
2022-01-20;04;16;2022;01-20
2022-01-20;05;NA;2022;01-20
2022-01-20;06;13.5;2022;01-20
2022-01-20;07;14;2022;01-20
2022-01-20;08;13;2022;01-20
2022-01-20;09;11;2022;01-20
2022-01-20;10;11.6666666666667;2022;01-20
2022-01-20;11;NA;2022;01-20
2022-01-20;12;10.3333333333333;2022;01-20
2022-01-20;13;13.5;2022;01-20
2022-01-20;14;11;2022;01-20
2022-01-20;15;12;2022;01-20
2022-01-20;16;14;2022;01-20
2022-01-20;17;NA;2022;01-20
2022-01-20;18;NA;2022;01-20
2022-01-20;19;NA;2022;01-20
2022-01-20;20;11.5;2022;01-20
2022-01-20;21;11.25;2022;01-20
2022-01-20;22;11;2022;01-20
2022-01-20;23;10;2022;01-20
2022-01-21;00;NA;2022;01-21
2022-01-21;01;9.5;2022;01-21
2022-01-21;02;9.5;2022;01-21
2022-01-21;03;10;2022;01-21
2022-01-21;04;9;2022;01-21
2022-01-21;05;9;2022;01-21
2022-01-21;06;8.5;2022;01-21
2022-01-21;07;13;2022;01-21
2022-01-21;08;14;2022;01-21
2022-01-21;09;NA;2022;01-21
2022-01-21;10;NA;2022;01-21
2022-01-21;11;NA;2022;01-21
2022-01-21;12;NA;2022;01-21
2022-01-21;13;7;2022;01-21
2022-01-21;14;NA;2022;01-21
2022-01-21;15;7;2022;01-21
2022-01-21;16;NA;2022;01-21
2022-01-21;17;NA;2022;01-21
2022-01-21;18;6;2022;01-21
2022-01-21;19;6;2022;01-21
2022-01-21;20;6;2022;01-21
2022-01-21;21;6;2022;01-21
2022-01-21;22;NA;2022;01-21
2022-01-21;23;5;2022;01-21
2022-01-22;00;NA;2022;01-22
2022-01-22;01;5;2022;01-22
2022-01-22;02;NA;2022;01-22
2022-01-22;03;NA;2022;01-22
2022-01-22;04;5;2022;01-22
2022-01-22;05;5;2022;01-22
2022-01-22;06;5;2022;01-22
2022-01-22;07;NA;2022;01-22
2022-01-22;08;5;2022;01-22
2022-01-22;09;NA;2022;01-22
2022-01-22;10;4.5;2022;01-22
2022-01-22;11;5;2022;01-22
2022-01-22;12;NA;2022;01-22
2022-01-22;13;4;2022;01-22
2022-01-22;14;NA;2022;01-22
2022-01-22;15;4;2022;01-22
2022-01-22;16;4;2022;01-22
2022-01-22;17;NA;2022;01-22
2022-01-22;18;4;2022;01-22
2022-01-22;19;4;2022;01-22
2022-01-22;20;4;2022;01-22
2022-01-22;21;4;2022;01-22
2022-01-22;22;4;2022;01-22
2022-01-22;23;4;2022;01-22
2022-01-23;00;4;2022;01-23
2022-01-23;01;4;2022;01-23
2022-01-23;02;4;2022;01-23
2022-01-23;03;4;2022;01-23
2022-01-23;04;4;2022;01-23
2022-01-23;05;4;2022;01-23
2022-01-23;06;4;2022;01-23
2022-01-23;07;4;2022;01-23
2022-01-23;08;4;2022;01-23
2022-01-23;09;4;2022;01-23
2022-01-23;10;4;2022;01-23
2022-01-23;11;4;2022;01-23
2022-01-23;12;4;2022;01-23
2022-01-23;13;4;2022;01-23
2022-01-23;14;NA;2022;01-23
2022-01-23;15;NA;2022;01-23
2022-01-23;16;4;2022;01-23
2022-01-23;17;NA;2022;01-23
2022-01-23;18;4;2022;01-23
2022-01-23;19;NA;2022;01-23
2022-01-23;20;NA;2022;01-23
2022-01-23;21;NA;2022;01-23
2022-01-23;22;NA;2022;01-23
2022-01-23;23;NA;2022;01-23
2022-01-24;00;NA;2022;01-24
2022-01-24;01;3;2022;01-24
2022-01-24;02;3;2022;01-24
2022-01-24;03;3;2022;01-24
2022-01-24;04;NA;2022;01-24
2022-01-24;05;NA;2022;01-24
2022-01-24;06;3;2022;01-24
2022-01-24;07;NA;2022;01-24
2022-01-24;08;NA;2022;01-24
2022-01-24;09;NA;2022;01-24
2022-01-24;10;NA;2022;01-24
2022-01-24;11;NA;2022;01-24
2022-01-24;12;NA;2022;01-24
2022-01-24;13;NA;2022;01-24
2022-01-24;14;3;2022;01-24
2022-01-24;15;3;2022;01-24
2022-01-24;16;3;2022;01-24
2022-01-24;17;3;2022;01-24
2022-01-24;18;3;2022;01-24
2022-01-24;19;3;2022;01-24
2022-01-24;20;3;2022;01-24
2022-01-24;21;3;2022;01-24
2022-01-24;22;NA;2022;01-24
2022-01-24;23;NA;2022;01-24
2022-01-25;00;NA;2022;01-25
2022-01-25;01;NA;2022;01-25
2022-01-25;02;NA;2022;01-25
2022-01-25;03;4;2022;01-25
2022-01-25;04;NA;2022;01-25
2022-01-25;05;NA;2022;01-25
2022-01-25;06;4;2022;01-25
2022-01-25;07;5;2022;01-25
2022-01-25;08;7;2022;01-25
2022-01-25;09;NA;2022;01-25
2022-01-25;10;NA;2022;01-25
2022-01-25;11;NA;2022;01-25
2022-01-25;12;NA;2022;01-25
2022-01-25;13;7.5;2022;01-25
2022-01-25;14;NA;2022;01-25
2022-01-25;15;NA;2022;01-25
2022-01-25;16;6;2022;01-25
2022-01-25;17;6;2022;01-25
2022-01-25;18;6;2022;01-25
2022-01-25;19;6.5;2022;01-25
2022-01-25;20;NA;2022;01-25
2022-01-25;21;11;2022;01-25
2022-01-25;22;NA;2022;01-25
2022-01-25;23;11;2022;01-25
2022-01-26;00;12.5;2022;01-26
2022-01-26;01;15;2022;01-26
2022-01-26;02;14;2022;01-26
2022-01-26;03;NA;2022;01-26
2022-01-26;04;22;2022;01-26
2022-01-26;05;23.5;2022;01-26
2022-01-26;06;NA;2022;01-26
2022-01-26;07;24.5;2022;01-26
2022-01-26;08;26;2022;01-26
2022-01-26;09;29;2022;01-26
2022-01-26;10;28;2022;01-26
2022-01-26;11;29;2022;01-26
2022-01-26;12;NA;2022;01-26
2022-01-26;13;46;2022;01-26
2022-01-26;14;NA;2022;01-26
2022-01-26;15;27;2022;01-26
2022-01-26;16;28.5;2022;01-26
2022-01-26;17;30;2022;01-26
2022-01-26;18;NA;2022;01-26
2022-01-26;19;26;2022;01-26
2022-01-26;20;30;2022;01-26
2022-01-26;21;NA;2022;01-26
2022-01-26;22;28;2022;01-26
2022-01-26;23;NA;2022;01-26
2022-01-27;00;27;2022;01-27
2022-01-27;01;NA;2022;01-27
2022-01-27;02;28.3333333333333;2022;01-27
2022-01-27;03;32;2022;01-27
2022-01-27;04;30;2022;01-27
2022-01-27;05;29;2022;01-27
2022-01-27;06;28;2022;01-27
2022-01-27;07;22;2022;01-27
2022-01-27;08;20;2022;01-27
2022-01-27;09;18;2022;01-27
2022-01-27;10;15;2022;01-27
2022-01-27;11;NA;2022;01-27
2022-01-27;12;13;2022;01-27
2022-01-27;13;13;2022;01-27
2022-01-27;14;11;2022;01-27
2022-01-27;15;11;2022;01-27
2022-01-27;16;NA;2022;01-27
2022-01-27;17;11;2022;01-27
2022-01-27;18;11;2022;01-27
2022-01-27;19;NA;2022;01-27
2022-01-27;20;12;2022;01-27
2022-01-27;21;17;2022;01-27
2022-01-27;22;NA;2022;01-27
2022-01-27;23;27;2022;01-27
2022-01-28;00;30;2022;01-28
2022-01-28;01;29;2022;01-28
2022-01-28;02;34;2022;01-28
2022-01-28;03;30;2022;01-28
2022-01-28;04;30.5;2022;01-28
2022-01-28;05;NA;2022;01-28
2022-01-28;06;36;2022;01-28
2022-01-28;07;NA;2022;01-28
2022-01-28;08;31.5;2022;01-28
2022-01-28;09;35;2022;01-28
2022-01-28;10;31;2022;01-28
2022-01-28;11;NA;2022;01-28
2022-01-28;12;36.5;2022;01-28
2022-01-28;13;40.3333333333333;2022;01-28
2022-01-28;14;NA;2022;01-28
2022-01-28;15;42;2022;01-28
2022-01-28;16;47;2022;01-28
2022-01-28;17;NA;2022;01-28
2022-01-28;18;NA;2022;01-28
2022-01-28;19;46;2022;01-28
2022-01-28;20;47;2022;01-28
2022-01-28;21;NA;2022;01-28
2022-01-28;22;44;2022;01-28
2022-01-28;23;41;2022;01-28
2022-01-29;00;NA;2022;01-29
2022-01-29;01;41.5;2022;01-29
2022-01-29;02;37;2022;01-29
2022-01-29;03;39;2022;01-29
2022-01-29;04;42;2022;01-29
2022-01-29;05;40;2022;01-29
2022-01-29;06;41.5;2022;01-29
2022-01-29;07;41;2022;01-29
2022-01-29;08;34;2022;01-29
2022-01-29;09;39.3333333333333;2022;01-29
2022-01-29;10;38;2022;01-29
2022-01-29;11;31;2022;01-29
2022-01-29;12;NA;2022;01-29
2022-01-29;13;NA;2022;01-29
2022-01-29;14;27.5;2022;01-29
2022-01-29;15;28;2022;01-29
2022-01-29;16;22.5;2022;01-29
2022-01-29;17;NA;2022;01-29
2022-01-29;18;20;2022;01-29
2022-01-29;19;19.5;2022;01-29
2022-01-29;20;17.3333333333333;2022;01-29
2022-01-29;21;16;2022;01-29
2022-01-29;22;NA;2022;01-29
2022-01-29;23;26;2022;01-29
2022-01-30;00;NA;2022;01-30
2022-01-30;01;NA;2022;01-30
2022-01-30;02;36;2022;01-30
2022-01-30;03;NA;2022;01-30
2022-01-30;04;40;2022;01-30
2022-01-30;05;NA;2022;01-30
2022-01-30;06;NA;2022;01-30
2022-01-30;07;47.5;2022;01-30
2022-01-30;08;NA;2022;01-30
2022-01-30;09;52;2022;01-30
2022-01-30;10;NA;2022;01-30
2022-01-30;11;59;2022;01-30
2022-01-30;12;69;2022;01-30
2022-01-30;13;NA;2022;01-30
2022-01-30;14;64;2022;01-30
2022-01-30;15;59;2022;01-30
2022-01-30;16;NA;2022;01-30
2022-01-30;17;68.5;2022;01-30
2022-01-30;18;71;2022;01-30
2022-01-30;19;69.5;2022;01-30
2022-01-30;20;61;2022;01-30
2022-01-30;21;NA;2022;01-30
2022-01-30;22;43;2022;01-30
2022-01-30;23;50;2022;01-30
2022-01-31;00;45.5;2022;01-31
