# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 249         4.979       52.644      -2.40       Berkhout    
# 269         5.520       52.458      -3.70       Lelystad    
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# Q         : Globale straling (in J/cm2) per uurvak / Global radiation (in J/cm2) during the hourly division
# STN,YYYYMMDD,   HH,    Q
  249,20230103,    6,    0
  249,20230103,    7,    0
  249,20230103,    8,    1
  249,20230103,    9,   10
  249,20230103,   10,   23
  249,20230103,   11,   19
  249,20230103,   12,   16
  249,20230103,   13,   20
  249,20230103,   14,   18
  249,20230103,   15,   14
  249,20230103,   16,    2
  249,20230103,   17,    0
  249,20230103,   18,    0
  249,20230103,   19,    0
  249,20230103,   20,    0
  249,20230103,   21,    0
  249,20230103,   22,    0
  249,20230103,   23,    0
  249,20230103,   24,    0
  249,20230104,    1,    0
  249,20230104,    2,    0
  249,20230104,    3,    0
  249,20230104,    4,    0
  249,20230104,    5,    0
  249,20230104,    6,    0
  249,20230104,    7,    0
  249,20230104,    8,    1
  249,20230104,    9,    3
  249,20230104,   10,    9
  249,20230104,   11,   34
  249,20230104,   12,   26
  249,20230104,   13,   32
  249,20230104,   14,   23
  249,20230104,   15,   16
  249,20230104,   16,    2
  249,20230104,   17,    0
  249,20230104,   18,    0
  249,20230104,   19,    0
  249,20230104,   20,    0
  249,20230104,   21,    0
  249,20230104,   22,    0
  249,20230104,   23,    0
  249,20230104,   24,    0
  249,20230105,    1,    0
  249,20230105,    2,    0
  249,20230105,    3,    0
  249,20230105,    4,    0
  249,20230105,    5,    0
  249,20230105,    6,    0
  249,20230105,    7,    0
  249,20230105,    8,    1
  249,20230105,    9,    7
  249,20230105,   10,   22
  249,20230105,   11,   36
  249,20230105,   12,   37
  249,20230105,   13,   49
  249,20230105,   14,   40
  249,20230105,   15,   12
  249,20230105,   16,    3
  249,20230105,   17,    0
  249,20230105,   18,    0
  249,20230105,   19,    0
  249,20230105,   20,    0
  249,20230105,   21,    0
  249,20230105,   22,    0
  249,20230105,   23,    0
  249,20230105,   24,    0
  249,20230106,    1,    0
  249,20230106,    2,    0
  249,20230106,    3,    0
  249,20230106,    4,    0
  249,20230106,    5,    0
  249,20230106,    6,    0
  249,20230106,    7,    0
  249,20230106,    8,    1
  249,20230106,    9,   17
  249,20230106,   10,   47
  249,20230106,   11,   68
  249,20230106,   12,   60
  249,20230106,   13,   34
  249,20230106,   14,   21
  249,20230106,   15,   14
  249,20230106,   16,    3
  249,20230106,   17,    0
  249,20230106,   18,    0
  249,20230106,   19,    0
  249,20230106,   20,    0
  249,20230106,   21,    0
  249,20230106,   22,    0
  249,20230106,   23,    0
  249,20230106,   24,    0
  249,20230107,    1,    0
  249,20230107,    2,    0
  249,20230107,    3,    0
  249,20230107,    4,    0
  249,20230107,    5,    0
  249,20230107,    6,    0
  249,20230107,    7,    0
  249,20230107,    8,    1
  249,20230107,    9,    7
  249,20230107,   10,   17
  249,20230107,   11,   35
  249,20230107,   12,   73
  249,20230107,   13,   39
  249,20230107,   14,   38
  249,20230107,   15,   15
  249,20230107,   16,    4
  249,20230107,   17,    0
  249,20230107,   18,    0
  249,20230107,   19,    0
  249,20230107,   20,    0
  249,20230107,   21,    0
  249,20230107,   22,    0
  249,20230107,   23,    0
  249,20230107,   24,    0
  249,20230108,    1,    0
  249,20230108,    2,    0
  249,20230108,    3,    0
  249,20230108,    4,    0
  249,20230108,    5,    0
  249,20230108,    6,    0
  249,20230108,    7,    0
  249,20230108,    8,    0
  249,20230108,    9,   15
  249,20230108,   10,   46
  249,20230108,   11,   70
  249,20230108,   12,   75
  249,20230108,   13,   68
  249,20230108,   14,   59
  249,20230108,   15,   25
  249,20230108,   16,    4
  249,20230108,   17,    0
  249,20230108,   18,    0
  249,20230108,   19,    0
  249,20230108,   20,    0
  249,20230108,   21,    0
  249,20230108,   22,    0
  249,20230108,   23,    0
  249,20230108,   24,    0
  249,20230109,    1,    0
  249,20230109,    2,    0
  249,20230109,    3,    0
  249,20230109,    4,    0
  249,20230109,    5,    0
  249,20230109,    6,    0
  249,20230109,    7,    0
  249,20230109,    8,    1
  249,20230109,    9,   17
  249,20230109,   10,   10
  249,20230109,   11,   37
  249,20230109,   12,   67
  249,20230109,   13,   40
  249,20230109,   14,   39
  249,20230109,   15,   31
  249,20230109,   16,    6
  249,20230109,   17,    0
  249,20230109,   18,    0
  249,20230109,   19,    0
  249,20230109,   20,    0
  249,20230109,   21,    0
  249,20230109,   22,    0
  249,20230109,   23,    0
  249,20230109,   24,    0
  249,20230110,    1,    0
  249,20230110,    2,    0
  249,20230110,    3,    0
  249,20230110,    4,    0
  249,20230110,    5,    0
  249,20230110,    6,    0
  249,20230110,    7,    0
  249,20230110,    8,    2
  249,20230110,    9,   15
  249,20230110,   10,   18
  249,20230110,   11,   21
  249,20230110,   12,   21
  249,20230110,   13,   17
  249,20230110,   14,   14
  249,20230110,   15,    5
  249,20230110,   16,    1
  249,20230110,   17,    0
  249,20230110,   18,    0
  249,20230110,   19,    0
  249,20230110,   20,    0
  249,20230110,   21,    0
  249,20230110,   22,    0
  249,20230110,   23,    0
  249,20230110,   24,    0
  249,20230111,    1,    0
  249,20230111,    2,    0
  249,20230111,    3,    0
  249,20230111,    4,    0
  249,20230111,    5,    0
  249,20230111,    6,    0
  249,20230111,    7,    0
  249,20230111,    8,    1
  249,20230111,    9,   12
  249,20230111,   10,   48
  249,20230111,   11,   73
  249,20230111,   12,   60
  249,20230111,   13,   55
  249,20230111,   14,   53
  249,20230111,   15,   23
  249,20230111,   16,    6
  249,20230111,   17,    0
  249,20230111,   18,    0
  249,20230111,   19,    0
  249,20230111,   20,    0
  249,20230111,   21,    0
  249,20230111,   22,    0
  249,20230111,   23,    0
  249,20230111,   24,    0
  249,20230112,    1,    0
  249,20230112,    2,    0
  249,20230112,    3,    0
  249,20230112,    4,    0
  249,20230112,    5,    0
  249,20230112,    6,    0
  249,20230112,    7,    0
  249,20230112,    8,    1
  249,20230112,    9,    6
  249,20230112,   10,   14
  249,20230112,   11,   25
  249,20230112,   12,   33
  249,20230112,   13,   16
  249,20230112,   14,    8
  249,20230112,   15,    5
  249,20230112,   16,    1
  249,20230112,   17,    0
  249,20230112,   18,    0
  249,20230112,   19,    0
  249,20230112,   20,    0
  249,20230112,   21,    0
  249,20230112,   22,    0
  249,20230112,   23,    0
  249,20230112,   24,    0
  249,20230113,    1,    0
  249,20230113,    2,    0
  249,20230113,    3,    0
  249,20230113,    4,    0
  249,20230113,    5,    0
  249,20230113,    6,    0
  249,20230113,    7,    0
  249,20230113,    8,    1
  249,20230113,    9,    9
  249,20230113,   10,   14
  249,20230113,   11,   29
  249,20230113,   12,   43
  249,20230113,   13,   39
  249,20230113,   14,   18
  249,20230113,   15,   10
  249,20230113,   16,    4
  249,20230113,   17,    0
  249,20230113,   18,    0
  249,20230113,   19,    0
  249,20230113,   20,    0
  249,20230113,   21,    0
  249,20230113,   22,    0
  249,20230113,   23,    0
  249,20230113,   24,    0
  249,20230114,    1,    0
  249,20230114,    2,    0
  249,20230114,    3,    0
  249,20230114,    4,    0
  249,20230114,    5,    0
  249,20230114,    6,    0
  249,20230114,    7,    0
  249,20230114,    8,    1
  249,20230114,    9,    3
  249,20230114,   10,    6
  249,20230114,   11,   10
  249,20230114,   12,   10
  249,20230114,   13,    9
  249,20230114,   14,    9
  249,20230114,   15,    7
  249,20230114,   16,    2
  249,20230114,   17,    0
  249,20230114,   18,    0
  249,20230114,   19,    0
  249,20230114,   20,    0
  249,20230114,   21,    0
  249,20230114,   22,    0
  249,20230114,   23,    0
  249,20230114,   24,    0
  249,20230115,    1,    0
  249,20230115,    2,    0
  249,20230115,    3,    0
  249,20230115,    4,    0
  249,20230115,    5,    0
  249,20230115,    6,    0
  249,20230115,    7,    0
  249,20230115,    8,    1
  249,20230115,    9,    8
  249,20230115,   10,   23
  249,20230115,   11,   45
  249,20230115,   12,   50
  249,20230115,   13,   52
  249,20230115,   14,   14
  249,20230115,   15,   11
  249,20230115,   16,    4
  249,20230115,   17,    0
  249,20230115,   18,    0
  249,20230115,   19,    0
  249,20230115,   20,    0
  249,20230115,   21,    0
  249,20230115,   22,    0
  249,20230115,   23,    0
  249,20230115,   24,    0
  249,20230116,    1,    0
  249,20230116,    2,    0
  249,20230116,    3,    0
  249,20230116,    4,    0
  249,20230116,    5,    0
  249,20230116,    6,    0
  249,20230116,    7,    0
  249,20230116,    8,    1
  249,20230116,    9,    2
  249,20230116,   10,    6
  249,20230116,   11,   11
  249,20230116,   12,   13
  249,20230116,   13,    8
  249,20230116,   14,    9
  249,20230116,   15,    8
  249,20230116,   16,    2
  249,20230116,   17,    0
  249,20230116,   18,    0
  249,20230116,   19,    0
  249,20230116,   20,    0
  249,20230116,   21,    0
  249,20230116,   22,    0
  249,20230116,   23,    0
  249,20230116,   24,    0
  249,20230117,    1,    0
  249,20230117,    2,    0
  249,20230117,    3,    0
  249,20230117,    4,    0
  249,20230117,    5,    0
  249,20230117,    6,    0
  249,20230117,    7,    0
  249,20230117,    8,    1
  249,20230117,    9,   22
  249,20230117,   10,   53
  249,20230117,   11,   46
  249,20230117,   12,   97
  249,20230117,   13,   84
  249,20230117,   14,   84
  249,20230117,   15,   46
  249,20230117,   16,   10
  249,20230117,   17,    0
  249,20230117,   18,    0
  249,20230117,   19,    0
  249,20230117,   20,    0
  249,20230117,   21,    0
  249,20230117,   22,    0
  249,20230117,   23,    0
  249,20230117,   24,    0
  249,20230118,    1,    0
  249,20230118,    2,    0
  249,20230118,    3,    0
  249,20230118,    4,    0
  249,20230118,    5,    0
  249,20230118,    6,    0
  249,20230118,    7,    0
  249,20230118,    8,    1
  249,20230118,    9,   21
  249,20230118,   10,   57
  249,20230118,   11,   63
  249,20230118,   12,   44
  249,20230118,   13,   45
  249,20230118,   14,   22
  249,20230118,   15,    7
  249,20230118,   16,    3
  249,20230118,   17,    0
  249,20230118,   18,    0
  249,20230118,   19,    0
  249,20230118,   20,    0
  249,20230118,   21,    0
  249,20230118,   22,    0
  249,20230118,   23,    0
  249,20230118,   24,    0
  249,20230119,    1,    0
  249,20230119,    2,    0
  249,20230119,    3,    0
  249,20230119,    4,    0
  249,20230119,    5,    0
  249,20230119,    6,    0
  249,20230119,    7,    0
  249,20230119,    8,    1
  249,20230119,    9,   18
  249,20230119,   10,   56
  249,20230119,   11,   93
  249,20230119,   12,  110
  249,20230119,   13,   80
  249,20230119,   14,   81
  249,20230119,   15,   56
  249,20230119,   16,   14
  249,20230119,   17,    0
  249,20230119,   18,    0
  249,20230119,   19,    0
  249,20230119,   20,    0
  249,20230119,   21,    0
  249,20230119,   22,    0
  249,20230119,   23,    0
  249,20230119,   24,    0
  249,20230120,    1,    0
  249,20230120,    2,    0
  249,20230120,    3,    0
  249,20230120,    4,    0
  249,20230120,    5,    0
  249,20230120,    6,    0
  249,20230120,    7,    0
  249,20230120,    8,    2
  249,20230120,    9,    6
  249,20230120,   10,   21
  249,20230120,   11,   75
  249,20230120,   12,   28
  249,20230120,   13,   15
  249,20230120,   14,   13
  249,20230120,   15,   10
  249,20230120,   16,    4
  249,20230120,   17,    0
  249,20230120,   18,    0
  249,20230120,   19,    0
  249,20230120,   20,    0
  249,20230120,   21,    0
  249,20230120,   22,    0
  249,20230120,   23,    0
  249,20230120,   24,    0
  249,20230121,    1,    0
  249,20230121,    2,    0
  249,20230121,    3,    0
  249,20230121,    4,    0
  249,20230121,    5,    0
  249,20230121,    6,    0
  249,20230121,    7,    0
  249,20230121,    8,    2
  249,20230121,    9,   13
  249,20230121,   10,   30
  249,20230121,   11,   44
  249,20230121,   12,   82
  249,20230121,   13,   93
  249,20230121,   14,   74
  249,20230121,   15,   37
  249,20230121,   16,   11
  249,20230121,   17,    1
  249,20230121,   18,    0
  249,20230121,   19,    0
  249,20230121,   20,    0
  249,20230121,   21,    0
  249,20230121,   22,    0
  249,20230121,   23,    0
  249,20230121,   24,    0
  249,20230122,    1,    0
  249,20230122,    2,    0
  249,20230122,    3,    0
  249,20230122,    4,    0
  249,20230122,    5,    0
  249,20230122,    6,    0
  249,20230122,    7,    0
  249,20230122,    8,    1
  249,20230122,    9,    7
  249,20230122,   10,   19
  249,20230122,   11,   32
  249,20230122,   12,   38
  249,20230122,   13,   40
  249,20230122,   14,   20
  249,20230122,   15,   14
  249,20230122,   16,    8
  249,20230122,   17,    0
  249,20230122,   18,    0
  249,20230122,   19,    0
  249,20230122,   20,    0
  249,20230122,   21,    0
  249,20230122,   22,    0
  249,20230122,   23,    0
  249,20230122,   24,    0
  249,20230123,    1,    0
  249,20230123,    2,    0
  249,20230123,    3,    0
  249,20230123,    4,    0
  249,20230123,    5,    0
  249,20230123,    6,    0
  249,20230123,    7,    0
  249,20230123,    8,    2
  249,20230123,    9,    7
  249,20230123,   10,   14
  249,20230123,   11,   29
  249,20230123,   12,   40
  249,20230123,   13,   32
  249,20230123,   14,   23
  249,20230123,   15,   18
  249,20230123,   16,    8
  249,20230123,   17,    0
  249,20230123,   18,    0
  249,20230123,   19,    0
  249,20230123,   20,    0
  249,20230123,   21,    0
  249,20230123,   22,    0
  249,20230123,   23,    0
  249,20230123,   24,    0
  249,20230124,    1,    0
  249,20230124,    2,    0
  249,20230124,    3,    0
  249,20230124,    4,    0
  249,20230124,    5,    0
  249,20230124,    6,    0
  249,20230124,    7,    0
  249,20230124,    8,    1
  249,20230124,    9,    6
  249,20230124,   10,   12
  249,20230124,   11,   19
  249,20230124,   12,   21
  249,20230124,   13,   21
  249,20230124,   14,   16
  249,20230124,   15,   11
  249,20230124,   16,    4
  249,20230124,   17,    0
  249,20230124,   18,    0
  249,20230124,   19,    0
  249,20230124,   20,    0
  249,20230124,   21,    0
  249,20230124,   22,    0
  249,20230124,   23,    0
  249,20230124,   24,    0
  249,20230125,    1,    0
  249,20230125,    2,    0
  249,20230125,    3,    0
  249,20230125,    4,    0
  249,20230125,    5,    0
  249,20230125,    6,    0
  249,20230125,    7,    0
  249,20230125,    8,    1
  249,20230125,    9,    5
  249,20230125,   10,   11
  249,20230125,   11,   21
  249,20230125,   12,   26
  249,20230125,   13,   26
  249,20230125,   14,   21
  249,20230125,   15,   16
  249,20230125,   16,    4
  249,20230125,   17,    0
  249,20230125,   18,    0
  249,20230125,   19,    0
  249,20230125,   20,    0
  249,20230125,   21,    0
  249,20230125,   22,    0
  249,20230125,   23,    0
  249,20230125,   24,    0
  249,20230126,    1,    0
  249,20230126,    2,    0
  249,20230126,    3,    0
  249,20230126,    4,    0
  249,20230126,    5,    0
  249,20230126,    6,    0
  249,20230126,    7,    0
  249,20230126,    8,    2
  249,20230126,    9,   29
  249,20230126,   10,   60
  249,20230126,   11,   68
  249,20230126,   12,   77
  249,20230126,   13,   62
  249,20230126,   14,   59
  249,20230126,   15,   27
  249,20230126,   16,    8
  249,20230126,   17,    0
  249,20230126,   18,    0
  249,20230126,   19,    0
  249,20230126,   20,    0
  249,20230126,   21,    0
  249,20230126,   22,    0
  249,20230126,   23,    0
  249,20230126,   24,    0
  249,20230127,    1,    0
  249,20230127,    2,    0
  249,20230127,    3,    0
  249,20230127,    4,    0
  249,20230127,    5,    0
  249,20230127,    6,    0
  249,20230127,    7,    0
  249,20230127,    8,    2
  249,20230127,    9,   14
  249,20230127,   10,   27
  249,20230127,   11,   35
  249,20230127,   12,   47
  249,20230127,   13,   30
  249,20230127,   14,   21
  249,20230127,   15,   14
  249,20230127,   16,    6
  249,20230127,   17,    0
  249,20230127,   18,    0
  249,20230127,   19,    0
  249,20230127,   20,    0
  249,20230127,   21,    0
  249,20230127,   22,    0
  249,20230127,   23,    0
  249,20230127,   24,    0
  249,20230128,    1,    0
  249,20230128,    2,    0
  249,20230128,    3,    0
  249,20230128,    4,    0
  249,20230128,    5,    0
  249,20230128,    6,    0
  249,20230128,    7,    0
  249,20230128,    8,    2
  249,20230128,    9,   28
  249,20230128,   10,   70
  249,20230128,   11,  102
  249,20230128,   12,  126
  249,20230128,   13,   59
  249,20230128,   14,   86
  249,20230128,   15,   28
  249,20230128,   16,   10
  249,20230128,   17,    1
  249,20230128,   18,    0
  249,20230128,   19,    0
  249,20230128,   20,    0
  249,20230128,   21,    0
  249,20230128,   22,    0
  249,20230128,   23,    0
  249,20230128,   24,    0
  249,20230129,    1,    0
  249,20230129,    2,    0
  249,20230129,    3,    0
  249,20230129,    4,    0
  249,20230129,    5,    0
  249,20230129,    6,    0
  249,20230129,    7,    0
  249,20230129,    8,    2
  249,20230129,    9,   12
  249,20230129,   10,   16
  249,20230129,   11,   25
  249,20230129,   12,   21
  249,20230129,   13,   24
  249,20230129,   14,   23
  249,20230129,   15,   13
  249,20230129,   16,    4
  249,20230129,   17,    1
  249,20230129,   18,    0
  249,20230129,   19,    0
  249,20230129,   20,    0
  249,20230129,   21,    0
  249,20230129,   22,    0
  249,20230129,   23,    0
  249,20230129,   24,    0
  249,20230130,    1,    0
  249,20230130,    2,    0
  249,20230130,    3,    0
  249,20230130,    4,    0
  249,20230130,    5,    0
  249,20230130,    6,    0
  249,20230130,    7,    0
  249,20230130,    8,    3
  249,20230130,    9,   14
  249,20230130,   10,   32
  249,20230130,   11,   95
  249,20230130,   12,   63
  249,20230130,   13,   93
  249,20230130,   14,   76
  249,20230130,   15,   35
  249,20230130,   16,   17
  249,20230130,   17,    2
  249,20230130,   18,    0
  249,20230130,   19,    0
  249,20230130,   20,    0
  249,20230130,   21,    0
  249,20230130,   22,    0
  249,20230130,   23,    0
  249,20230130,   24,    0
  249,20230131,    1,    0
  249,20230131,    2,    0
  249,20230131,    3,    0
  249,20230131,    4,    0
  249,20230131,    5,    0
  249,20230131,    6,    0
  249,20230131,    7,    0
  249,20230131,    8,    2
  249,20230131,    9,   17
  249,20230131,   10,   34
  249,20230131,   11,   39
  249,20230131,   12,   87
  249,20230131,   13,   90
  249,20230131,   14,   81
  249,20230131,   15,   51
  249,20230131,   16,   19
  249,20230131,   17,    2
  249,20230131,   18,    0
  249,20230131,   19,    0
  249,20230131,   20,    0
  249,20230131,   21,    0
  249,20230131,   22,    0
  249,20230131,   23,    0
  249,20230131,   24,    0
  249,20230201,    1,    0
  249,20230201,    2,    0
  249,20230201,    3,    0
  249,20230201,    4,    0
  249,20230201,    5,    0
  249,20230201,    6,    0
  249,20230201,    7,    0
  249,20230201,    8,    6
  249,20230201,    9,   18
  249,20230201,   10,   12
  249,20230201,   11,   20
  249,20230201,   12,   29
  249,20230201,   13,   26
  249,20230201,   14,   33
  249,20230201,   15,   24
  249,20230201,   16,   15
  249,20230201,   17,    1
  249,20230201,   18,    0
  249,20230201,   19,    0
  249,20230201,   20,    0
  249,20230201,   21,    0
  249,20230201,   22,    0
  249,20230201,   23,    0
  249,20230201,   24,    0
  249,20230202,    1,    0
  249,20230202,    2,    0
  249,20230202,    3,    0
  249,20230202,    4,    0
  249,20230202,    5,    0
  249,20230202,    6,    0
  249,20230202,    7,    0
  249,20230202,    8,    2
  249,20230202,    9,   13
  249,20230202,   10,   26
  249,20230202,   11,   38
  249,20230202,   12,   30
  249,20230202,   13,   26
  249,20230202,   14,   16
  249,20230202,   15,   13
  249,20230202,   16,   10
  249,20230202,   17,    2
  249,20230202,   18,    0
  249,20230202,   19,    0
  249,20230202,   20,    0
  249,20230202,   21,    0
  249,20230202,   22,    0
  249,20230202,   23,    0
  249,20230202,   24,    0
  249,20230203,    1,    0
  249,20230203,    2,    0
  249,20230203,    3,    0
  249,20230203,    4,    0
  249,20230203,    5,    0
  249,20230203,    6,    0
  249,20230203,    7,    0
  249,20230203,    8,    3
  249,20230203,    9,   11
  249,20230203,   10,   16
  249,20230203,   11,   17
  249,20230203,   12,   21
  249,20230203,   13,   37
  249,20230203,   14,   29
  249,20230203,   15,   23
  249,20230203,   16,   10
  249,20230203,   17,    2
  249,20230203,   18,    0
  249,20230203,   19,    0
  249,20230203,   20,    0
  249,20230203,   21,    0
  249,20230203,   22,    0
  249,20230203,   23,    0
  249,20230203,   24,    0
  249,20230204,    1,    0
  249,20230204,    2,    0
  249,20230204,    3,    0
  249,20230204,    4,    0
  249,20230204,    5,    0
  249,20230204,    6,    0
  249,20230204,    7,    0
  249,20230204,    8,    5
  249,20230204,    9,   22
  249,20230204,   10,   56
  249,20230204,   11,   69
  249,20230204,   12,   85
  249,20230204,   13,   66
  249,20230204,   14,   58
  249,20230204,   15,   36
  249,20230204,   16,   10
  249,20230204,   17,    2
  249,20230204,   18,    0
  249,20230204,   19,    0
  249,20230204,   20,    0
  249,20230204,   21,    0
  249,20230204,   22,    0
  249,20230204,   23,    0
  249,20230204,   24,    0
  249,20230205,    1,    0
  249,20230205,    2,    0
  249,20230205,    3,    0
  249,20230205,    4,    0
  249,20230205,    5,    0
  249,20230205,    6,    0
  249,20230205,    7,    0
  249,20230205,    8,    6
  249,20230205,    9,   41
  249,20230205,   10,   63
  249,20230205,   11,   83
  249,20230205,   12,  104
  249,20230205,   13,   83
  249,20230205,   14,   79
  249,20230205,   15,   56
  249,20230205,   16,   18
  249,20230205,   17,    2
  249,20230205,   18,    0
  249,20230205,   19,    0
  249,20230205,   20,    0
  249,20230205,   21,    0
  249,20230205,   22,    0
  249,20230205,   23,    0
  249,20230205,   24,    0
  249,20230206,    1,    0
  249,20230206,    2,    0
  249,20230206,    3,    0
  249,20230206,    4,    0
  249,20230206,    5,    0
  249,20230206,    6,    0
  249,20230206,    7,    0
  249,20230206,    8,    5
  249,20230206,    9,   20
  249,20230206,   10,   70
  249,20230206,   11,   90
  249,20230206,   12,   93
  249,20230206,   13,  123
  249,20230206,   14,   98
  249,20230206,   15,   56
  249,20230206,   16,   19
  249,20230206,   17,    3
  249,20230206,   18,    0
  249,20230206,   19,    0
  249,20230206,   20,    0
  249,20230206,   21,    0
  249,20230206,   22,    0
  249,20230206,   23,    0
  249,20230206,   24,    0
  249,20230207,    1,    0
  249,20230207,    2,    0
  249,20230207,    3,    0
  249,20230207,    4,    0
  249,20230207,    5,    0
  249,20230207,    6,    0
  249,20230207,    7,    0
  249,20230207,    8,   15
  249,20230207,    9,   72
  249,20230207,   10,   97
  249,20230207,   11,  114
  249,20230207,   12,  130
  249,20230207,   13,  130
  249,20230207,   14,  114
  249,20230207,   15,   82
  249,20230207,   16,   39
  249,20230207,   17,    5
  249,20230207,   18,    0
  249,20230207,   19,    0
  249,20230207,   20,    0
  249,20230207,   21,    0
  249,20230207,   22,    0
  249,20230207,   23,    0
  249,20230207,   24,    0
  249,20230208,    1,    0
  249,20230208,    2,    0
  249,20230208,    3,    0
  249,20230208,    4,    0
  249,20230208,    5,    0
  249,20230208,    6,    0
  249,20230208,    7,    0
  249,20230208,    8,   12
  249,20230208,    9,   60
  249,20230208,   10,  114
  249,20230208,   11,  124
  249,20230208,   12,  136
  249,20230208,   13,  133
  249,20230208,   14,  113
  249,20230208,   15,   85
  249,20230208,   16,   39
  249,20230208,   17,    6
  249,20230208,   18,    0
  249,20230208,   19,    0
  249,20230208,   20,    0
  249,20230208,   21,    0
  249,20230208,   22,    0
  249,20230208,   23,    0
  249,20230208,   24,    0
  249,20230209,    1,    0
  249,20230209,    2,    0
  249,20230209,    3,    0
  249,20230209,    4,    0
  249,20230209,    5,    0
  249,20230209,    6,    0
  249,20230209,    7,    0
  249,20230209,    8,    7
  249,20230209,    9,   30
  249,20230209,   10,   46
  249,20230209,   11,   77
  249,20230209,   12,   58
  249,20230209,   13,   18
  249,20230209,   14,   13
  249,20230209,   15,   15
  249,20230209,   16,   14
  249,20230209,   17,    5
  249,20230209,   18,    0
  249,20230209,   19,    0
  249,20230209,   20,    0
  249,20230209,   21,    0
  249,20230209,   22,    0
  249,20230209,   23,    0
  249,20230209,   24,    0
  249,20230210,    1,    0
  249,20230210,    2,    0
  249,20230210,    3,    0
  249,20230210,    4,    0
  249,20230210,    5,    0
  249,20230210,    6,    0
  249,20230210,    7,    0
  249,20230210,    8,   10
  249,20230210,    9,   48
  249,20230210,   10,   87
