WAARNEMINGDATUM HH NTU_h
2021-11-01 20 27
2021-11-01 21 28
2021-11-01 22 28
2021-11-01 23 28.5
2020-12-01 01 17
2020-12-01 02 20
2020-12-01 03 19
2020-12-01 04 17.75
2020-12-01 05 17
2020-12-01 06 21
2020-12-01 07 28
2020-12-01 08 29
2020-12-01 10 30
2020-12-01 11 31
2020-12-01 12 31
2020-12-01 13 31
2020-12-01 14 30
2020-12-01 15 29
2020-12-01 16 31
2020-12-01 17 28
2020-12-01 18 28
2020-12-01 19 25
2020-12-01 22 19
2020-12-01 23 18
2021-12-01 00 17
2021-12-01 02 24
2021-12-01 04 31
2021-12-01 06 37
2021-12-01 07 36
2021-12-01 09 38
2021-12-01 11 36
2021-12-01 13 38
2021-12-01 18 37.5
2021-12-01 19 41
2021-12-01 20 39.5
2021-12-01 21 38
2021-12-01 22 34
2021-12-01 23 34
2020-01-02 00 273.75
2020-01-02 01 278.75
2020-01-02 02 301.25
2020-01-02 03 305.75
2020-01-02 04 270
2020-01-02 05 231.5
2020-01-02 06 293.75
2020-01-02 07 289.5
2020-01-02 08 327.833333333333
2020-01-02 09 381.833333333333
2020-01-02 10 336.416666666667
2020-01-02 11 284.166666666667
2020-01-02 12 298.416666666667
2020-01-02 13 298.583333333333
2020-01-02 14 362.666666666667
2020-01-02 15 358.416666666667
2020-01-02 16 328.083333333333
2020-01-02 17 384.416666666667
2020-01-02 18 361.833333333333
2020-01-02 19 510.666666666667
2020-01-02 20 582.666666666667
2020-01-02 21 565.75
2020-01-02 22 582.833333333333
2020-01-02 23 579.666666666667
2021-01-02 00 507
2021-01-02 04 508
2021-01-02 05 508
2021-01-02 07 512
2021-01-02 12 507
2021-01-02 13 511
2021-01-02 14 343.666666666667
2021-01-02 16 260
2021-01-02 17 10
2021-01-02 18 259
2021-01-02 19 507
2021-01-02 20 8
2021-01-02 21 174.333333333333
2021-01-02 23 509
2020-02-02 00 1189.83333333333
2020-02-02 01 1111.33333333333
2020-02-02 02 1010.33333333333
2020-02-02 03 1173.41666666667
2020-02-02 04 1084.25
2020-02-02 05 1079.16666666667
2020-02-02 06 898.75
2020-02-02 07 833.25
2020-02-02 08 1030.58333333333
2020-02-02 09 833.25
2020-02-02 10 661.083333333333
2020-02-02 11 709.333333333333
2020-02-02 12 607
2020-02-02 13 677.666666666667
2020-02-02 14 753.75
2020-02-02 15 683.5
2020-02-02 16 859
2020-02-02 17 1060
2020-02-02 18 1015.75
2020-02-02 19 948.166666666667
2020-02-02 20 910.75
2020-02-02 21 980.083333333333
2020-02-02 22 917.166666666667
2020-02-02 23 875.5
2021-02-02 00 18
2021-02-02 01 21
2021-02-02 02 17
2021-02-02 03 19
2021-02-02 04 19.5
2021-02-02 05 17.5
2021-02-02 06 17.3333333333333
2021-02-02 07 17.3333333333333
2021-02-02 08 15
2021-02-02 09 15.75
2021-02-02 11 17
2021-02-02 12 23
2021-02-02 14 26
2021-02-02 16 26
2021-02-02 17 24.5
2021-02-02 18 21.6666666666667
2021-02-02 19 19
2021-02-02 21 20.5
2021-02-02 23 19
2020-03-02 00 78
2020-03-02 01 81
2020-03-02 02 83.5
2020-03-02 03 87
2020-03-02 04 84
2020-03-02 05 89
2020-03-02 06 88
2020-03-02 09 79
2020-03-02 11 78.5
2020-03-02 13 71.5
2020-03-02 14 68
2020-03-02 15 65
2020-03-02 17 55
2020-03-02 18 52
2020-03-02 19 55
2020-03-02 21 53
2020-03-02 23 51
2020-04-02 00 27
2020-04-02 03 25
2020-04-02 07 24
2020-04-02 10 26
2020-04-02 13 35
2020-04-02 14 39
2020-04-02 15 42
2020-04-02 21 45
2020-04-02 23 34
2021-04-02 00 35.6666666666667
2021-04-02 01 35
2021-04-02 02 41
2021-04-02 03 43
2021-04-02 05 44
2021-04-02 06 41
2021-04-02 07 43
2021-04-02 08 44
2021-04-02 09 42
2021-04-02 10 40.5
2021-04-02 12 43
2021-04-02 13 44.3333333333333
2021-04-02 14 46.6666666666667
2021-04-02 15 48
2021-04-02 16 51
2021-04-02 20 49.6666666666667
2021-04-02 21 51
2021-04-02 22 51.5
2021-04-02 23 53
2020-05-02 00 35
2020-05-02 03 34
2020-05-02 05 31
2020-05-02 07 33.5
2020-05-02 08 34
2020-05-02 09 34
2020-05-02 10 38
2020-05-02 11 41
2020-05-02 12 39
2020-05-02 15 40.5
2020-05-02 16 41
2020-05-02 18 39
2020-05-02 19 36.5
2020-05-02 20 36
2020-05-02 21 30
2020-05-02 22 29
2020-05-02 23 31
2021-05-02 00 21
2021-05-02 02 20.5
2021-05-02 04 19
2021-05-02 05 19
2021-05-02 06 20.5
2021-05-02 09 22
2021-05-02 10 24
2021-05-02 12 26
2021-05-02 14 28
2021-05-02 15 27.6666666666667
2021-05-02 16 27
2021-05-02 17 28
2021-05-02 18 29
2021-05-02 20 28
2021-05-02 23 23
2020-06-02 02 19
2020-06-02 03 19
2020-06-02 04 18
2020-06-02 06 16
2020-06-02 07 16
2020-06-02 08 16
2020-06-02 09 15
2020-06-02 10 12
2020-06-02 11 12
2020-06-02 12 11
2020-06-02 15 13
2020-06-02 16 18
2020-06-02 17 15.3333333333333
2020-06-02 18 11
2020-06-02 22 10
2020-06-02 23 11
2021-06-02 00 40.5
2021-06-02 01 11
2021-06-02 02 18
2021-06-02 03 18
2021-06-02 04 16
2021-06-02 06 18.5
2021-06-02 07 17
2021-06-02 08 16
2021-06-02 10 16
2021-06-02 11 13
2021-06-02 15 13
2021-06-02 16 13
2021-06-02 17 12
2021-06-02 18 11.3333333333333
2021-06-02 19 11.5
2021-06-02 20 11
2021-06-02 21 10
2021-06-02 22 9
2020-07-02 01 28
2020-07-02 02 27.6666666666667
2020-07-02 04 29
2020-07-02 06 22
2020-07-02 07 24
2020-07-02 09 22
2020-07-02 10 21.5
2020-07-02 11 26
2020-07-02 13 30
2020-07-02 15 32.25
2020-07-02 16 30
2020-07-02 17 31
2020-07-02 22 28
2020-07-02 23 25.5
2021-07-02 01 14
2021-07-02 02 14.5
2021-07-02 03 13
2021-07-02 04 13.6666666666667
2021-07-02 05 14
2021-07-02 06 13.5
2021-07-02 07 13
2021-07-02 08 13
2021-07-02 09 13.6666666666667
2021-07-02 10 13
2021-07-02 11 12
2021-07-02 13 11.5
2021-07-02 14 11.3333333333333
2021-07-02 16 11
2021-07-02 19 10
2021-07-02 20 10
2021-07-02 21 10
2021-07-02 22 27
2020-08-02 03 6
2020-08-02 04 6
2020-08-02 05 7
2020-08-02 06 7
2020-08-02 09 9
2020-08-02 11 10
2020-08-02 12 127
2020-08-02 13 11
2020-08-02 14 10
2020-08-02 15 10
2020-08-02 16 10
2020-08-02 17 10
2020-08-02 19 10
2020-08-02 20 14
2020-08-02 21 10
2021-08-02 00 14
2021-08-02 01 14
2021-08-02 02 13
2021-08-02 05 11.6666666666667
2021-08-02 06 11.6666666666667
2021-08-02 07 13
2021-08-02 09 13
2021-08-02 12 11.6666666666667
2021-08-02 14 11
2021-08-02 17 10
2021-08-02 18 10.25
2021-08-02 19 11.5
2021-08-02 20 11
2020-09-02 00 12
2020-09-02 01 12.5
2020-09-02 02 12
2020-09-02 03 18
2020-09-02 04 14
2020-09-02 05 13
2020-09-02 09 7
2020-09-02 10 7
2020-09-02 19 6
2020-09-02 20 6
2020-09-02 23 6
2021-09-02 00 22
2021-09-02 02 9.33333333333333
2021-09-02 03 6.5
2021-09-02 04 9
2021-09-02 05 4.5
2021-09-02 06 5
2021-09-02 07 6
2021-09-02 09 4
2021-09-02 14 6
2021-09-02 15 6
2021-09-02 16 6
2021-09-02 17 6
2021-09-02 18 6
2021-09-02 19 6
2021-09-02 20 5
2020-10-02 00 13
2020-10-02 01 12
2020-10-02 02 11.25
2020-10-02 06 9
2020-10-02 07 9.33333333333333
2020-10-02 08 12
2020-10-02 09 12
2020-10-02 10 13
2020-10-02 11 15
2020-10-02 12 15
2020-10-02 13 14
2020-10-02 15 14
2020-10-02 16 14.6666666666667
2020-10-02 18 14
2020-10-02 19 15.5
2020-10-02 20 17
2020-10-02 21 16.6666666666667
2020-10-02 22 20
2020-10-02 23 19
2021-10-02 00 17
2021-10-02 01 14.5
2021-10-02 06 13
2021-10-02 07 13
2021-10-02 08 6
2021-10-02 09 6
2021-10-02 10 6
2021-10-02 12 12
2021-10-02 13 12
2021-10-02 15 12
2021-10-02 16 7
2021-10-02 18 13
2021-10-02 19 14
2021-10-02 20 20
2021-10-02 21 22
2021-10-02 23 27
2020-11-02 00 44
2020-11-02 02 35
2020-11-02 03 43.5
2020-11-02 04 41
2020-11-02 05 27
2020-11-02 06 27
2020-11-02 07 27
2020-11-02 08 27
2020-11-02 11 25
2020-11-02 14 26
2020-11-02 15 25
2020-11-02 17 36.5
2020-11-02 18 34.3333333333333
2020-11-02 19 44
2020-11-02 20 40.6666666666667
2020-11-02 21 43
2020-11-02 22 28
2020-11-02 23 44.5
2021-11-02 01 26.5
2021-11-02 02 26
2021-11-02 03 25.5
2021-11-02 04 26.3333333333333
2021-11-02 06 26
2021-11-02 07 23
2021-11-02 08 22
2021-11-02 09 19
2021-11-02 11 17
2021-11-02 12 15
2021-11-02 13 16
2021-11-02 16 15
2021-11-02 17 15
2021-11-02 19 14
2021-11-02 20 10
2021-11-02 21 10
2021-11-02 23 11
2020-12-02 02 17
2020-12-02 03 16
2020-12-02 04 15
2020-12-02 05 15
2020-12-02 06 15
2020-12-02 07 14
2020-12-02 08 13
